=== Effect Code Log Started 2026-01-26T07:58:32.772Z ===
[2026-01-26T07:58:32.774Z] [CLI] Starting CLI process
[2026-01-26T07:58:32.807Z] [CLI] Starting distilled CLI | {"config":{"_id":"Option","_tag":"Some","value":"../distilled-cloudflare/distilled.config.ts"},"model":"claude-sonnet"}
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/statusInterconnect/Designer has 10 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/statusInterconnect/Developer has 17 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/statusInterconnect/Reviewer has 5 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/listSlots has 23 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/listSlots/Designer has 15 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/listSlots/Developer has 17 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/listSlots/Reviewer has 5 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/getSlot has 23 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/getSlot/Designer has 10 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/getSlot/Developer has 17 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent network-interconnects/getSlot/Reviewer has 5 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls has 18 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/createSfu has 23 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/createSfu/Designer has 9 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/createSfu/Developer has 17 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/createSfu/Reviewer has 5 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/updateSfu has 23 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/updateSfu/Designer has 10 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/updateSfu/Developer has 17 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/updateSfu/Reviewer has 5 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/deleteSfu has 23 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/deleteSfu/Designer has 10 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/deleteSfu/Developer has 17 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/deleteSfu/Reviewer has 5 flat references
[2026-01-26T07:58:33.821Z] [collectAgents] Agent calls/getSfu has 23 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/getSfu/Designer has 10 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/getSfu/Developer has 17 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/getSfu/Reviewer has 5 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/createTurn has 23 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/createTurn/Designer has 9 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/createTurn/Developer has 17 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/createTurn/Reviewer has 5 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/updateTurn has 23 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/updateTurn/Designer has 10 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/updateTurn/Developer has 17 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/updateTurn/Reviewer has 5 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/deleteTurn has 23 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/deleteTurn/Designer has 10 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/deleteTurn/Developer has 17 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/deleteTurn/Reviewer has 5 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/getTurn has 23 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/getTurn/Designer has 10 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/getTurn/Developer has 17 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent calls/getTurn/Reviewer has 5 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting has 34 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/listAvailableAlerts has 23 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/listAvailableAlerts/Designer has 9 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/listAvailableAlerts/Developer has 17 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/listAvailableAlerts/Reviewer has 5 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/createPolicy has 23 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/createPolicy/Designer has 9 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/createPolicy/Developer has 17 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/createPolicy/Reviewer has 5 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/updatePolicy has 23 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/updatePolicy/Designer has 10 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/updatePolicy/Developer has 17 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/updatePolicy/Reviewer has 5 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/deletePolicy has 23 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/deletePolicy/Designer has 10 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/deletePolicy/Developer has 17 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/deletePolicy/Reviewer has 5 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/getPolicy has 23 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/getPolicy/Designer has 10 flat references
[2026-01-26T07:58:33.822Z] [collectAgents] Agent alerting/getPolicy/Developer has 17 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/getPolicy/Reviewer has 5 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createDestinationPagerduty has 23 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createDestinationPagerduty/Designer has 9 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createDestinationPagerduty/Developer has 17 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createDestinationPagerduty/Reviewer has 5 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteDestinationPagerduty has 23 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteDestinationPagerduty/Designer has 9 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteDestinationPagerduty/Developer has 17 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteDestinationPagerduty/Reviewer has 5 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/linkDestinationPagerduty has 23 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/linkDestinationPagerduty/Designer has 10 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/linkDestinationPagerduty/Developer has 17 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/linkDestinationPagerduty/Reviewer has 5 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createDestinationWebhook has 23 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createDestinationWebhook/Designer has 9 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createDestinationWebhook/Developer has 17 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createDestinationWebhook/Reviewer has 5 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/updateDestinationWebhook has 23 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/updateDestinationWebhook/Designer has 10 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/updateDestinationWebhook/Developer has 17 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/updateDestinationWebhook/Reviewer has 5 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteDestinationWebhook has 23 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteDestinationWebhook/Designer has 10 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteDestinationWebhook/Developer has 17 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteDestinationWebhook/Reviewer has 5 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/getDestinationWebhook has 23 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/getDestinationWebhook/Designer has 10 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/getDestinationWebhook/Developer has 17 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/getDestinationWebhook/Reviewer has 5 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/getDestinationEligible has 23 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/getDestinationEligible/Designer has 9 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/getDestinationEligible/Developer has 17 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/getDestinationEligible/Reviewer has 5 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createSilence has 23 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createSilence/Designer has 9 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createSilence/Developer has 17 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/createSilence/Reviewer has 5 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteSilence has 23 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteSilence/Designer has 10 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteSilence/Developer has 17 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/deleteSilence/Reviewer has 5 flat references
[2026-01-26T07:58:33.823Z] [collectAgents] Agent alerting/getSilence has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent alerting/getSilence/Designer has 10 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent alerting/getSilence/Developer has 17 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent alerting/getSilence/Reviewer has 5 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center has 10 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/dismissInsight has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/dismissInsight/Designer has 11 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/dismissInsight/Developer has 17 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/dismissInsight/Reviewer has 5 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightClass has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightClass/Designer has 8 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightClass/Developer has 17 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightClass/Reviewer has 5 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightType has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightType/Designer has 8 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightType/Developer has 17 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightType/Reviewer has 5 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightSeverity has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightSeverity/Designer has 8 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightSeverity/Developer has 17 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent security-center/getInsightSeverity/Reviewer has 5 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store has 14 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/deleteStoreSecret has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/deleteStoreSecret/Designer has 11 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/deleteStoreSecret/Developer has 17 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/deleteStoreSecret/Reviewer has 5 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/duplicateStoreSecret has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/duplicateStoreSecret/Designer has 11 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/duplicateStoreSecret/Developer has 17 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/duplicateStoreSecret/Reviewer has 5 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/patchStoreSecret has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/patchStoreSecret/Designer has 11 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/patchStoreSecret/Developer has 17 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/patchStoreSecret/Reviewer has 5 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/getStoreSecret has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/getStoreSecret/Designer has 11 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/getStoreSecret/Developer has 17 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/getStoreSecret/Reviewer has 5 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/deleteStore has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/deleteStore/Designer has 10 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/deleteStore/Developer has 17 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/deleteStore/Reviewer has 5 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/getQuota has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/getQuota/Designer has 9 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/getQuota/Developer has 17 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent secrets-store/getQuota/Reviewer has 5 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent intel has 42 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent intel/classAttackSurfaceReportIssue has 23 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent intel/classAttackSurfaceReportIssue/Designer has 20 flat references
[2026-01-26T07:58:33.824Z] [collectAgents] Agent intel/classAttackSurfaceReportIssue/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/classAttackSurfaceReportIssue/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/dismissAttackSurfaceReportIssue has 23 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/dismissAttackSurfaceReportIssue/Designer has 10 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/dismissAttackSurfaceReportIssue/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/dismissAttackSurfaceReportIssue/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/severityAttackSurfaceReportIssue has 23 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/severityAttackSurfaceReportIssue/Designer has 20 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/severityAttackSurfaceReportIssue/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/severityAttackSurfaceReportIssue/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/typeAttackSurfaceReportIssue has 23 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/typeAttackSurfaceReportIssue/Designer has 20 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/typeAttackSurfaceReportIssue/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/typeAttackSurfaceReportIssue/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getIp has 23 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getIp/Designer has 11 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getIp/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getIp/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomainBulk has 23 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomainBulk/Designer has 10 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomainBulk/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomainBulk/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomain has 23 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomain/Designer has 10 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomain/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomain/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomainHistory has 23 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomainHistory/Designer has 10 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomainHistory/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getDomainHistory/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getWhoi has 23 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getWhoi/Designer has 10 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getWhoi/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getWhoi/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/createMiscategorization has 23 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/createMiscategorization/Designer has 9 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/createMiscategorization/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/createMiscategorization/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getAsnSubnet has 23 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getAsnSubnet/Designer has 9 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getAsnSubnet/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getAsnSubnet/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getAsn has 23 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getAsn/Designer has 9 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getAsn/Developer has 17 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/getAsn/Reviewer has 5 flat references
[2026-01-26T07:58:33.825Z] [collectAgents] Agent intel/createIndicatorFeedPermission has 23 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/createIndicatorFeedPermission/Designer has 9 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/createIndicatorFeedPermission/Developer has 17 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/createIndicatorFeedPermission/Reviewer has 5 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/listIndicatorFeedPermissions has 23 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/listIndicatorFeedPermissions/Designer has 9 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/listIndicatorFeedPermissions/Developer has 17 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/listIndicatorFeedPermissions/Reviewer has 5 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/deleteIndicatorFeedPermission has 23 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/deleteIndicatorFeedPermission/Designer has 9 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/deleteIndicatorFeedPermission/Developer has 17 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/deleteIndicatorFeedPermission/Reviewer has 5 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/putIndicatorFeedSnapshot has 23 flat references
[2026-01-26T07:58:33.826Z] [collectAgents] Agent intel/putIndicatorFeedSnapshot/Designer has 10 flat references
